Prompting-Strategy,Exp-Name,Version,Template,Input,Rationale,generated_rationale,BERTScore_precision,BERTScore_recall,BERTScore_f1
Zero-shot,ZS_w_diff_commit_rel_text_0,1.1.0.2,"You are an expert Java Developer. Analyze these code diffs from code commit. Generate a rationale (in maximum 50 word) explaining the reasoning behind the following code change.

Code Diff:
{diff}

Commit Message:
{commit_message}

Related Texts(If Any):
{related_text}

Generate Rationale (in maximum 50 word):","You are an expert Java Developer. Analyze these code diffs from code commit. Generate a rationale (in maximum 50 word) explaining the reasoning behind the following code change.

Code Diff:
-		if (!cookies.isEmpty()) {
-			this.builder.header(HttpHeaders.COOKIE, cookies.values().stream()
-					.flatMap(List::stream).map(HttpCookie::toString).collect(Collectors.joining("";"")));
+		if (cookies.isEmpty()) {
+			return;
+		this.builder.header(HttpHeaders.COOKIE, cookies.values().stream()
+				.flatMap(List::stream).map(HttpCookie::toString).collect(Collectors.joining("";"")));

Commit Message:
Polishing contribution

Closes gh-32799


Related Texts(If Any):
Do not send Cookie header in reactive JdkClientHttpRequest if no cookies added
Prevent cookies to be set to empty in the HTTP request if no cookie is present.
The `Cookie` header should not be sent if no cookie is set in the HTTP message.
Polishing contribution
Closes gh-32799


Generate Rationale (in maximum 50 word):",The code needs to be polished.,"The code change adds a return statement when the cookies are empty, preventing the unnecessary creation of a Cookie header. This is a polishing contribution that improves the code's efficiency and adherence to the requirement of not sending the Cookie header if no cookies are added.",0.41359561681747437,0.5378502607345581,0.46760937571525574
Zero-shot,ZS_w_diff_commit_rel_text_0,1.1.0.2,"You are an expert Java Developer. Analyze these code diffs from code commit. Generate a rationale (in maximum 50 word) explaining the reasoning behind the following code change.

Code Diff:
{diff}

Commit Message:
{commit_message}

Related Texts(If Any):
{related_text}

Generate Rationale (in maximum 50 word):","You are an expert Java Developer. Analyze these code diffs from code commit. Generate a rationale (in maximum 50 word) explaining the reasoning behind the following code change.

Code Diff:
+import org.springframework.core.SpringProperties;
+ * @author Sebastien Deleuze
+	/**
+	 * Boolean flag controlled by a {@code spring.xml.ignore} system property that instructs Spring to
+	 * ignore XML, i.e. to not initialize the XML-related infrastructure.
+	 * <p>The default is ""false"".
+	 */
+	private static final boolean shouldIgnoreXml = SpringProperties.getFlag(""spring.xml.ignore"");
+	
+
+				else if (shouldIgnoreXml) {
+					throw new UnsupportedOperationException(""XML support disabled"");
+				}

Commit Message:
Leverage spring.ignore.xml flag to avoid XmlBeanDefinitionReader

Closes gh-25338


Related Texts(If Any):
This issue is a follow up of #25151, it avoids using `XmlBeanDefinitionReader` in `ConfigurationClassBeanDefinitionReader` when `spring.xml.ignore` is `true` in order to avoid triggering XML usage in GraalVM native images.
Leverage spring.ignore.xml flag to avoid XmlBeanDefinitionReader
Leverage spring.ignore.xml flag to avoid XmlBeanDefinitionReader
Closes gh-25338


Generate Rationale (in maximum 50 word):",ConfigurationClassBeanDefinitionReader should have a flag that indicate whether Spring is instructed to ignore XML and add avoid returning XmlBeanDefinitionReader if the flag is false.,"The code change introduces a boolean flag `shouldIgnoreXml` that is controlled by the `spring.xml.ignore` system property. When this flag is `true`, it throws an `UnsupportedOperationException` to avoid using `XmlBeanDefinitionReader` in `ConfigurationClassBeanDefinitionReader`, which is necessary to avoid triggering XML usage in GraalVM native images.",0.572952151298523,0.7550514340400696,0.6515167951583862
Zero-shot,ZS_w_diff_commit_rel_text_0,1.1.0.2,"You are an expert Java Developer. Analyze these code diffs from code commit. Generate a rationale (in maximum 50 word) explaining the reasoning behind the following code change.

Code Diff:
{diff}

Commit Message:
{commit_message}

Related Texts(If Any):
{related_text}

Generate Rationale (in maximum 50 word):","You are an expert Java Developer. Analyze these code diffs from code commit. Generate a rationale (in maximum 50 word) explaining the reasoning behind the following code change.

Code Diff:
-			if (!this.inputStream.isFinished() && this.inputStream.isReady()) {
+			if (this.inputStream.isReady() && !this.inputStream.isFinished()) {

Commit Message:
Invert the check for ServletInputStream.isReady()

When checking whether there is still request body the first method
that should be checked is ServletInputStream.isReady() and then
ServletInputStream.isFinished(). ServletInputStream.isReady() is the active
method whereas the ServletInputStream.isFinished() is not.
It is important to call ServletInputStream.isReady() because if it returns
false it will schedule a dispatch and if the request body is already read it will
send onAllDataRead event.

Issue: SPR-16521


Related Texts(If Any):
Invert the check for ServletInputStream.isReady()
When checking whether there is still request body the first method
that should be checked is ServletInputStream.isReady() and then
ServletInputStream.isFinished(). ServletInputStream.isReady() is the active
method whereas the ServletInputStream.isFinished() is not.
It is important to call ServletInputStream.isReady() because if it returns
false it will schedule a dispatch and if the request body is already read it will
send onAllDataRead event.
The trigger seems to be Spring Security switching threads, in which case the `onAllDataRead` callback is never received. I see you submitted a PR to detect of end of input when `ServletInputStream.read()` returns -1, which would work around the lack of notification, but I still don't understand why we don't get that notification in the first place? I've looked over the Servlet API for non-blocking I/O, and I can't find anything to explain this. So isn't this an issue that needs to be fixed in Tomcat? I did check that switching to Jetty does work.

I also think so. I'm working on it.

Generate Rationale (in maximum 50 word):","ServletInputStream.isReady() should be called before ServletInputStream.isFinished() because if request body is already read, ServletInputStream.isReady() will not be called which is needed to schedule a dispatch and send a onAllDataRead event. ","The code change inverts the check for `ServletInputStream.isReady()` to ensure that `isReady()` is called first, which is the active method that schedules a dispatch if it returns false. This ensures that the `onAllDataRead` event is triggered correctly, even when the request body is already read.",0.6626561880111694,0.7628833055496216,0.7092463374137878
Zero-shot,ZS_w_diff_commit_rel_text_0,1.1.0.2,"You are an expert Java Developer. Analyze these code diffs from code commit. Generate a rationale (in maximum 50 word) explaining the reasoning behind the following code change.

Code Diff:
{diff}

Commit Message:
{commit_message}

Related Texts(If Any):
{related_text}

Generate Rationale (in maximum 50 word):","You are an expert Java Developer. Analyze these code diffs from code commit. Generate a rationale (in maximum 50 word) explaining the reasoning behind the following code change.

Code Diff:
+		Class<?>[] parameterTypes = null;
-			Class<?>[] ifcs = current.getInterfaces();
-			for (Class<?> ifc : ifcs) {
+			if (parameterTypes == null) {
+				// Since Method#getParameterTypes() clones the array, we lazily retrieve
+				// and cache parameter types to avoid cloning the array multiple times.
+				parameterTypes = method.getParameterTypes();
+			}
+			for (Class<?> ifc : current.getInterfaces()) {
-					return ifc.getMethod(method.getName(), method.getParameterTypes());
+					return ifc.getMethod(method.getName(), parameterTypes);

Commit Message:
Cache parameter types array in ClassUtils.findInterfaceMethodIfPossible()

nan

Related Texts(If Any):
Cache parameter types array in ClassUtils.findInterfaceMethodIfPossible()


Generate Rationale (in maximum 50 word):","The Method#getParameterTypes() method clones the array of parameter types whenever it is called. To avoid cloning the array multiple times, the parameter types are retrieved lazily.","The code change caches the `parameterTypes` array in `ClassUtils.findInterfaceMethodIfPossible()` to avoid cloning the array multiple times when calling `Method.getParameterTypes()`. This optimization improves performance by reducing the number of array clones, making the method more efficient.",0.634850263595581,0.7346807718276978,0.6811270117759705
Zero-shot,ZS_w_diff_commit_rel_text_0,1.1.0.2,"You are an expert Java Developer. Analyze these code diffs from code commit. Generate a rationale (in maximum 50 word) explaining the reasoning behind the following code change.

Code Diff:
{diff}

Commit Message:
{commit_message}

Related Texts(If Any):
{related_text}

Generate Rationale (in maximum 50 word):","You are an expert Java Developer. Analyze these code diffs from code commit. Generate a rationale (in maximum 50 word) explaining the reasoning behind the following code change.

Code Diff:
+	@Override
+	@Override
-		boolean endsWithSlash = pattern.endsWith(""/"");
-			if (!endsWithSlash && this.pathMatcher.match(pattern + ""/"", lookupPath)) {
+			if (!pattern.endsWith(""/"") && this.pathMatcher.match(pattern + ""/"", lookupPath)) {
+	@Override

Commit Message:
Delay check if pattern ends with slash

This is a minor fix with no actual impact.

Issue: SPR-10504


Related Texts(If Any):
`endsWithSlash` initialization should be moved inside `if` statement as it is not used anywhere else in the function
```java
boolean endsWithSlash = pattern.endsWith(""/"");
if (this.useTrailingSlashMatch) {
    if (!endsWithSlash && this.pathMatcher.match(pattern + ""/"", lookupPath)) {
        return pattern +""/"";
    }
}
```
Delay check if pattern ends with slash
On line 259 in `org.springframework.web.servlet.mvc.condition.PatternsRequestCondition` shipped with version 3.2.2 this block from `getMatchingPattern` function has unnecessary code.

Generate Rationale (in maximum 50 word):",endsWithSlash initialization should be moved inside if statement as it is not used anywhere else in the function,"The code change moves the check for the pattern ending with a slash inside the `if` statement, eliminating the unnecessary `endsWithSlash` variable. This optimization delays the check until it's actually needed, reducing unnecessary computations.",0.5241128206253052,0.6122198104858398,0.5647505521774292
Zero-shot,ZS_w_diff_commit_rel_text_0,1.1.0.2,"You are an expert Java Developer. Analyze these code diffs from code commit. Generate a rationale (in maximum 50 word) explaining the reasoning behind the following code change.

Code Diff:
{diff}

Commit Message:
{commit_message}

Related Texts(If Any):
{related_text}

Generate Rationale (in maximum 50 word):","You are an expert Java Developer. Analyze these code diffs from code commit. Generate a rationale (in maximum 50 word) explaining the reasoning behind the following code change.

Code Diff:
-					this.columnLabelMap.put(rsmd.getColumnLabel(i), i);
+					String key = rsmd.getColumnLabel(i);
+					// Make sure to preserve first matching column for any given name,
+					// as defined in ResultSet's type-level javadoc (lines 81 to 83).
+					if (!this.columnLabelMap.containsKey(key)) {
+						this.columnLabelMap.put(key, i);
+					}

Commit Message:
ResultSetWrappingSqlRowSet preserves first matching column per name (as defined in ResultSet's javadoc)

Issue: SPR-11786


Related Texts(If Any):
This bug is introduced in Spring JDBC since the implementation ResultSetWrappingSqlRowSet uses a HashMap.
JDBC findColumn gives wrong result in case of duplicate column labels [SPR-11786]
ResultSetWrappingSqlRowSet preserves first matching column per name (as defined in ResultSet's javadoc)
The code should check for existence of the key in the map and not override the value if the key exists.

Generate Rationale (in maximum 50 word):",ResultSetWrappingSqlRowSet should preserve first matching column with a column name in case there are several columns that have the same names.,"The code change ensures that `ResultSetWrappingSqlRowSet` preserves the first matching column per name, as defined in the ResultSet's javadoc. This is achieved by checking if the key already exists in the `columnLabelMap` before adding a new entry, preventing overwriting of existing values.",0.5675901770591736,0.7106730937957764,0.6311236023902893
Zero-shot,ZS_w_diff_commit_rel_text_0,1.1.0.2,"You are an expert Java Developer. Analyze these code diffs from code commit. Generate a rationale (in maximum 50 word) explaining the reasoning behind the following code change.

Code Diff:
{diff}

Commit Message:
{commit_message}

Related Texts(If Any):
{related_text}

Generate Rationale (in maximum 50 word):","You are an expert Java Developer. Analyze these code diffs from code commit. Generate a rationale (in maximum 50 word) explaining the reasoning behind the following code change.

Code Diff:
-				if (constructor.getParameterCount() == 9) {
+				if (constructor.getParameterTypes().length == 9) {

Commit Message:
Polish

Constructor.getParameterCount is JDK8+ only!


Related Texts(If Any):
Constructor.getParameterCount is JDK8+ only!

Polish

Generate Rationale (in maximum 50 word):","Constructor.getParameterCount() was introduced in Java 8, while Constructor.getParameterTypes() has been available since earlier versions of Java. To ensure compatibility with all Java versions, it is safer to use getParameterTypes().length",The code change updates the condition to check the number of parameter types instead of parameter count to ensure compatibility with Java versions prior to JDK 8. This is done to avoid a compile-time error when running the code on older Java versions.,0.5652706623077393,0.5171648263931274,0.5401487946510315
Zero-shot,ZS_w_diff_commit_rel_text_0,1.1.0.2,"You are an expert Java Developer. Analyze these code diffs from code commit. Generate a rationale (in maximum 50 word) explaining the reasoning behind the following code change.

Code Diff:
{diff}

Commit Message:
{commit_message}

Related Texts(If Any):
{related_text}

Generate Rationale (in maximum 50 word):","You are an expert Java Developer. Analyze these code diffs from code commit. Generate a rationale (in maximum 50 word) explaining the reasoning behind the following code change.

Code Diff:
-					else if (nonSyntheticConstructors == 2 && primaryConstructor != null && defaultConstructor != null) {
+					else if (nonSyntheticConstructors == 2 && primaryConstructor != null
+							&& defaultConstructor != null && !primaryConstructor.equals(defaultConstructor)) {

Commit Message:
Fix Kotlin bean w/ default + secondary ctors handling

This commit polishes SPR-16022 fix in order to handle correctly
the case when primary and default constructors are the same when
a secondary constructor is defined.

Issue: SPR-16289


Related Texts(If Any):
This commit polishes SPR-16022 fix in order to handle correctly
the case when primary and default constructors are the same when
a secondary constructor is defined.
Fix Kotlin bean w/ default + secondary ctors handling
**Issue Links:**
- #20571 Avoid implicit autowiring with Kotlin secondary constructors
Avoid implicit autowiring with Kotlin secondary constructors [SPR-16022]

Generate Rationale (in maximum 50 word):","SPR-16022 treated the primary constructor and the default constructor as always different. However, they can be the same in some cases so this scenario needed to be handled.","The code change ensures that when a class has two non-synthetic constructors (primary and default) and a secondary constructor, it correctly handles the case where the primary and default constructors are identical. This fix addresses SPR-16289, a follow-up issue to SPR-16022, which aimed to avoid implicit autowiring with Kotlin secondary constructors.",0.6053289771080017,0.6654024124145508,0.6339457035064697
Zero-shot,ZS_w_diff_commit_rel_text_0,1.1.0.2,"You are an expert Java Developer. Analyze these code diffs from code commit. Generate a rationale (in maximum 50 word) explaining the reasoning behind the following code change.

Code Diff:
{diff}

Commit Message:
{commit_message}

Related Texts(If Any):
{related_text}

Generate Rationale (in maximum 50 word):","You are an expert Java Developer. Analyze these code diffs from code commit. Generate a rationale (in maximum 50 word) explaining the reasoning behind the following code change.

Code Diff:
-
-			if (InMemoryWebSessionStore.this.sessions.remove(currentId) == null) {
-				return Mono.error(new IllegalStateException(
-						""Failed to change session id: "" + currentId +
-								"" because the Session is no longer present in the store.""));
-			}
+			InMemoryWebSessionStore.this.sessions.remove(currentId);

Commit Message:
Remove unnecessary assertion

Issue: SPR-16201


Related Texts(If Any):
```
java.lang.IllegalStateException: Failed to change session id: 4854375d-1713-468b-9e4c-61fe282de0bc because the Session is no longer present in the store.
		at org.springframework.web.server.session.InMemoryWebSessionStore$InMemoryWebSession.changeSessionId(InMemoryWebSessionStore.java:214)
		at org.springframework.security.web.server.csrf.WebSessionServerCsrfTokenRepository.lambda$saveToken$1(WebSessionServerCsrfTokenRepository.java:64)
		at reactor.core.publisher.MonoFlatMap$FlatMapMain.onNext(MonoFlatMap.java:118)
		... 36 more
```
InMemoryWebSession.changeSessionId reports error if the session does not exist [SPR-16201]
If a user invokes `InMemoryWebSession.changeSessionId` before the session has been created, an error is reported stating:
I think the method should support changing the id even if the session is new.

Generate Rationale (in maximum 50 word):",When the session is new InMemoryWebSessionStore.this.sessions.remove(currentId) returns null. The method should support changing the id even if the session is new.,"The code change removes an unnecessary assertion that checked if the session was removed from the store before returning an error. The rationale is that the session is either present or not, and the method should handle both cases. The assertion was unnecessary and made the code more complex.",0.5590013861656189,0.5469684600830078,0.5529194474220276
Zero-shot,ZS_w_diff_commit_rel_text_0,1.1.0.2,"You are an expert Java Developer. Analyze these code diffs from code commit. Generate a rationale (in maximum 50 word) explaining the reasoning behind the following code change.

Code Diff:
{diff}

Commit Message:
{commit_message}

Related Texts(If Any):
{related_text}

Generate Rationale (in maximum 50 word):","You are an expert Java Developer. Analyze these code diffs from code commit. Generate a rationale (in maximum 50 word) explaining the reasoning behind the following code change.

Code Diff:
-		if (!c1.isInterface() && c1 != Object.class) {
-			// Try early initialization for overridden methods on subclasses
+		if (!c1.isInterface() && c1 != Object.class && !Factory.class.isAssignableFrom(c2)) {
+			// Try early initialization for overridden methods on specifically purposed subclasses

Commit Message:
Narrow early initialization of CGLIB method proxies (for AOT processing)

Do not trigger early initialization on Factory classes (e.g. AOP proxies)

See gh-29107


Related Texts(If Any):
Do not trigger early initialization on Factory classes (e.g. AOP proxies)
We need to swap the creation of the raw class to the cglib proxy. I was hoping I could avoid having to change code generation for this but it turns out that there isn't a way to achieve this using an instance supplier. 

I've a proposal in .

This is blocked by https://github.com/spring-projects/spring-boot/issues/32304 and, to some extent, https://github.com/spring-projects/spring-framework/issues/29141
Consider the following configuration class:

```java
@Configuration
public class MyConfiguration {
	@Bean
	A a() { return new A(); }

	@Bean
	B b() { return new B(this.a()); }
	
	static class A {
		public A() { System.out.println(""A constructor""); }
	}

	static class B {
		public B(A a) { System.out.println(""B constructor""); }
	}
}
```

On JVM in regular mode, it prints:

```
A constructor
B constructor
```

On JVM in AOT mode or native, while it seems CGLIB proxies are generated correctly at build time,  but they seems not used since it prints:

```
A constructor
A constructor
B constructor
```

The code generated AOT maybe needs to be updated to leverage those CGLIB proxies.
Narrow early initialization of CGLIB method proxies (for AOT processing)

Generate Rationale (in maximum 50 word):",Factory classes shouldn't have early initialization.,"The code change restricts early initialization of CGLIB method proxies to only non-Factory classes, excluding classes that implement Factory interfaces (e.g., AOP proxies). This is done to prevent unnecessary initialization of Factory classes, which can lead to incorrect behavior in Ahead-of-Time (AOT) processing.",0.4442027807235718,0.6236370801925659,0.5188443064689636
